title,summary,starring,director,genre
Two Turtle Doves ,"""Dr. Sharon Hayes (DeLoach) searches for a beloved family heirloom in a small Christmas town. When she unexpectedly discovers an adorable little girl and her disheartened father (Rady), she realizes that Christmas miracles really do happen""","""Nikki Deloach, Michael Rady, Michaela Russell, Zach Tinker""",Lesley Demetriades,"""Drama, Family"""
Miracle in Manhattan ,"""No one celebrates the holidays like Emily Merkle - or Mrs. Miracle as she is known by some - who is back to ensure that this Christmas is the most magical and meaningful of all. When Mrs. Miracle appears as a seasonal employee in the toy department at the financially troubled Finley's Department Store, neither the store's owners, nor the customers, have any idea of the events that are about to unfold. Just when it seemed Christmas might not come at all this year, Finley's favorite employee proves they don't call her Mrs. Miracle for nothing!""","""Doris Roberts, Jewel Staite, Eric Johnson, Quinn Lord""",Michael M. Scott,"""Comedy, Drama, Family"""
Winter in Vail ,"""Chelsea inherits a house in Vail. She meets Owen and gets a much needed break. Together, they put on Strudelfest to highlight the charm of Old Vail.""","""Lacey Chabert, Tyler Hynes, Marla Renae, Greg Lawson""",Terry Ingram,"""Comedy, Drama, Romance"""
Catch a Christmas Star,"""With the help of his two precocious kids, a widower reconnects with his high school sweetheart, who just happens to be one of the biggest pop stars on the planet.""","""Shannon Elizabeth, Steve Byers, Julia Lalonde, Kyle Harrison Breitkopf""",John Bradshaw,"""Comedy, Drama, Family"""
Jingle Around the Clock ,"""Elle's plans for Christmas reunion are thwarted by work. In order to get a career-altering promotion she's forced to team up with advertising campaign 'fixer' Max, who has a completely different take on the Holidays.""","""Brooke Nevin, Michael Cassidy, Jeremy Guilbaut, Andrea Brooks""",Paul Ziller,"""Comedy, Romance"""
A Christmas Detour ,"""An anxious bride-to-be throws in with a broken-hearted guy and a happily married couple for an emergency ride to NYC, learning about each other and themselves along the way.""","""Candace Cameron Bure, Paul Greene, Sarah Strange, David Lewis""",Ron Oliver,"""Comedy, Romance"""
A December Bride,"""A holiday wedding brings no joy to the bride's cousin, who was literally left by the groom right at the altar. But she might find her true love there when she gains a fake fiancé in the process.""","""Jessica Lowndes, Daniel Lissing, Jay Hindle, Pauline Egan""",David Winning,"""Comedy, Romance"""
A Christmas Carousel,"""When Lila is hired by the Royal Family of Ancadia to repair a carousel, she must work with the Prince to complete it by Christmas.""","""Rachel Boston, Neal Bledsoe, Stuart Hughes, Jennifer Vallance""",Don McCutcheon,"""Drama, Romance"""
A Blue Ridge Mountain Christmas,"""Hotel manager Willow returns to her stunning Virginia hometown to help her sister plan a Christmas wedding at the inn her family once owned. She must work with current owner and single dad David, who wants to let go of the past.""","""Rachael Leigh Cook, Benjamin Ayres, Christie Burke, Chilton Crane""",David Winning,Family
Christmas Connection ,"""A flight attendant teams up with a newspaper columnist to investigate how her late-parents first met.""","""Brooke Burns, Tom Everett Scott, Sophie Neudorf, Micheline Marchildon""",Steven R. Monroe,"""Drama, Family, Romance"""
Christmas with Holly,"""Traumatized by her mother's death, a 6-year-old girl stops talking but is cared for by her three uncles. The story unfolds as all of them find the importance of family.""","""Sean Faris, Eloise Mumford, Daniel Eric Gold, Dana Watkins""",Allan Arkush,"""Drama, Family, Romance"""
Welcome to Christmas,"""Resort developer Madison Lane (Finnigan) is tasked with finding a location for a new ski resort. While she's prepared to recommend the resort be placed in Mountain Park, her boss tells her to take a trip to Christmas, Colo., to consider the location and the incentive package they're offering. On her way into town to meet with the mayor, Madison has a minor fender-bender with the town's welcome sign. Town Sheriff Gage McBride (Mabius) gives Madison a ride into town so she can attend the meeting while the car is towed and repaired. Little does Madison know that the town is on a mission to convince Madison that Christmas is the best place for the new ski resort. While stranded, Madison grows to love the community and the spirit of Christmas that runs throughout. Is a resort really the right move for Christmas? Or would the town be better off keeping its charm and traditions intact?""","""Eric Mabius, Jennifer Finnigan, Susan Hogan, Lauren McNamara""",Gary Harvey,"""Family, Romance"""
Christmas in Homestead,"""Life is turned upside down for a small town mayor when a famous actress arrives to shoot her new Christmas movie.""",""" Taylor Cole, Michael Rady, Brooklyn Rae Silzer, Jeff Branson""",Steven R. Monroe,Romance
Northpole ,"""An injured figure skater is sent to the mountains to recover from an injury. Once there, she meets an ex-hockey player and his young daughter and begins to realize that something is missing from her life.""","""Tiffani Thiessen, Josh Hopkins, Bailee Madison, Max Charles""",Douglas Barr,"""Family, Fantasy, Romance"""
A Homecoming for the Holidays ,"""Country singer Charlotte is home for the holidays and brother Ryan's fellow ex-soldier Matt is in town. Writing her new album, Charlotte works with Matt to build a house for a friend in town.""","""Laura Osnes, Stephen Huszar, P. Lynn Johnson, Jan Bos""",Cathering Cyran,"""Drama, Family, Romance"""
A Holiday in Harlem,"""Known for transforming fledgling businesses into moneymakers, executive Jazmin Carter returns to Harlem, N.Y., to celebrate Christmas in the neighborhood where she grew up.""","""Olivia Washington, Will Adams, Tina Lifford, Opal Alladin""",Keith Powell,"""Drama, Romance"""
Christmas at Cartwright's,"""A single mom gets a holiday job as a department store Santa to help boost her finances, and then an angel enters her life and brings about some positive changes, including the spark of a new romance.""","""Alicia Witt, Gabriel Hogan, Wallace Shawn, T.J. McGibbon""",Graeme Campbell,"""Comedy, Drama, Family"""
A Dream of Christmas,"""When a restless young married woman is granted a wish by a Christmas Angel to be single again, she soon discovers her new life isn't what she bargained for, and embarks on a quest to win her husband back.""","""Andrew W. Walker, Nikki Deloach, Lisa Durupt, Paul Essiembre""",Gary Yates,"""Comedy, Drama, Family"""
Christmas Everlasting,"""A hotshot lawyer returns to her childhood home following a death in the family.""","""Tatyana Ali, Dondré T. Whitfield, Dennis Haysbert, Patti LaBelle""",Ron Oliver,"""Drama, Romance"""
Romance at Reindeer Lodge,"""Molly and Jared have sworn off partaking in holiday activities, but find themselves at a Christmas themed ranch with no flights available to leave. Eventually, they find romance, and the spirit of Christmas revived in them again.""","""Nicky Whelan, Josh Kelly, Nichole Galicia, Michael Cognata""",Colin Theys,"""Drama, Romance"""
Tis the Season for Love,"""A small-town girl who moved to New York to pursue her dreams returns home for the holidays, only to realize that maybe her dreams aren't miles away, but right in her hometown.""","""Sarah Lancaster, Brendan Penny, Gwynyth Walsh, Andrew Francis""",Terry Ingram,"""Comedy, Drama, Family"""
Operation Christmas,"""A single mother and her daughter try to help other military families after being inspired by their own difficulties and their efforts go viral.""","""Tricia Helfer, Marc Blucas, Lisa Durupt, Gabrielle Rose""",David Weaver,Romance
My Christmas Dream,"""An ambitious store manager of a renowned retail flagship store must enlist the help of a struggling, single-father handyman to help her realize her dream of managing the company's first international store.""","""Danica McKellar, David Haydn-Jones, Christine Lee, Deidre Hall""",James Head,"""Comedy, Romance"""
Angels and Ornaments,"""Three suitors pursue a hopeless romantic after she makes a wish to find true love before Christmas""",""" Jessalyn Gilsig, Sergio Di Zio, Graham Abbey, Roger Doche""",Alan Goluboff,"""Family, Fantasy, Romance"""
 Christmas at Holly Lodge,"""Sophie Bennett, the owner, tries to convince a developer that the lodge would be a bad investment.""","""Alison Sweeney, Jordan Bridges, Sheryl Lee Ralph, Yan-Kay Crystal Lowe""",Jem Garrard,"""Drama, Family, Romance"""
Finding Santa,"""Grace is thrilled to be taking over the town's Christmas parade, but when the man playing St. Nick breaks his arm, she needs to find a replacement, even if the replacement is unwilling. Sophie Bennett, the owner, tries to convince a developer that the lodge would be a bad investment.""","""Jodie Sweetin, Eric Winter, Katey Hoffman, Jay Brazeau""",David Winning,Romance
The Christmas Ornament ,"""A widow plans to give Christmas festivities a miss, as they bring back too many memories of her late husband.""","""Kellie Martin, Cameron Mathison, Jewel Staite, Brendan Meyer""",Mark Jean,Romance
Merry & Bright,"""Cate's mom is setting up dates for her CEO daughter. When she meets Gabe a week before Christmas, she assumes, he's a date, but he's a corporate recovery consultant for her candy cane company. He's also single.""","""Jodie Sweetin, Andrew W. Walker, Sharon Lawrence, Stephanie Moroz""",Gary Yates,"""Drama, Romance"""
Love in Winterland,"""Ally, a final contestant on a dating show, must face her high school sweetheart when she is chosen for the Hometown Date.""","""Italia Ricci, Chad Michael Murray, Jack Turner, Aliyah O'Brien""",Pat Williams,"""Drama, Romance"""
A Cheerful Christmas ,"""A woman and her best friend think they landed the job of their dreams by giving people a great Christmas until they get a client who doesn't feel the same way.""","""Erica Deutschman, Chad Connell, Jennifer Vallance, Tianna Nori""",Marita Grabiak,"""Drama, Romance"""
A Winter Princess ,"""Princess Carly, working incognito at a ski resort, must team up with the owner's brother, Jesse, to plan the resort's 50th anniversary celebration.""","""Natalie Hall, Chris McNally, Lara Gilchrist, Casey Manderson""",Allan Harmon,"""Animation, Drama, Family"""
Holiday Hearts,"""While planning an annual Christmas party, Peyton is forced together with Ben to care for a friend's daughter. While finding their Christmas spirit, will there be some romance along the way.""","""Ashley Williams, Paul Campbell, Payton Lepinski, Andrew Airlie""",Allan Harmon,Romance
"""Pride, Prejudice and Mistletoe""","""Darcy is a career woman who hasn't found love, but her life turns upside down when she returns home to help her mother plan a charity event.""","""Lacey Chabert, Brendan Penny, Sherry Miller, Art Hindle""",Don McBrearty ,Romance
The Christmas Cure,"""A doctor returns home for Christmas to find that her father has decided to retire from his own practice. After reuniting with her high school sweetheart, she wonders if she should stay and take over her father's practice.""","""Brooke Nevin, Steve Byers, Patrick Duffy, Kathleen Laskey""",John Bradshaw,"""Drama, Romance"""
Christmas Encore,"""A struggling actress earns the lead part in the production of 'A Christmas Carol', and falls in love with the director. But, the cast and crew need a Christmas miracle to save the show when the theater loses its lease.""","""Maggie Lawson, Brennan Elliott, Art Hindle, Tracey Hoyt""",Bradley Walsh,"""Drama, Romance"""
Christmas at Dollywood ,"""A New York City event planner travels home to Tennessee for the holidays and ends up working on the thirtieth anniversary Christmas event at Dollywood alongside the theme park's Director of Operations.""","""Danica McKellar, Niall Matter, Zoë Noelle Baker, Yan-Kay Crystal Lowe""",Michael Robison  ,"""Drama, Family, Romance"""
"""Signed, Sealed, Delivered for Christmas""","""When the beloved quartet of postal detectives discover an urgent letter written to God on Christmas Eve, they delay their own plans to help a little girl whose mother's life hangs in the balance.""","""Eric Mabius, Kristin Booth, Yan-Kay Crystal Lowe, Geoff Gustafson""",Kevin Fair ,"""Drama, Mystery, Romance"""
Magical Christmas Ornaments,"""After a bad breakup, former Christmas lover Marie (Lowndes) loses her Christmas spirit. Trying to restore it, her mother sends Marie Christmas ornaments from her childhood, and a coincidental blessing follows each one. Marie's Christmas spirit gets another boost when she meets her handsome neighbor, Nate (Penny), and feels a spark with him while celebrating the season. When Marie's boss assigns her to edit the book of the man who caused her holiday heartache, however, the task resurfaces doubts from the past and even causes her to push Nate away. Feeling lost both at work and in love, Marie looks for a Christmas miracle to give her the confidence to pursue her work goals and to try to win Nate back. As Christmas approaches, Marie must follow her heart's passion - both at work and in love - and hope for one more blessing from her magical Christmas ornaments.""","""Jessica Lowndes, Brendan Penny, Farah Merani, Stephen Huszar""",Don McBrearty ,"""Drama, Fantasy, Romance"""
A Christmas Visitor ,"""A father struggles with the past. A daughter fights for the future. A mother searches for answers. The Boyajians have not celebrated Christmas in 11 years. They lost their faith when they lost their son to the Persian Gulf War. Now a stranger--around the same age their son would be--has joined them. Is he a con artist? Or is this young man the miracle their family has been waiting for? William Devane, Reagan Pasternak, and Dean McDermott star in a remarkable story of loss and renewal. This Christmas, a stranger will change them forever.""","""William Devane, Meredith Baxter, Dean McDermott, Reagan Pasternak""",Christopher Leitch,Drama
Sharing Christmas,"""Stephanie Nichols takes over the Christmas Shop, but a property developer has bought the building and is terminating the retail leases. She finds help and love from Michael Kilpatrick, who works for the developer.""","""Ellen Hollman, Bobby Campo, Cynthia Gibb, Dave Koz""",Peter Sullivan,"""Action, Drama, Family"""
Christmas Incorporated,"""Riley lands herself a new job via a case of mistaken identity, and her first assignment is to accompany her new boss on a trip to save a failing toy factory.""","""Shenae Grimes-Beech, Steve Lund, Ron Lea, Hannah Spear""",Jonathan Wright,"""Comedy, Drama, Romance"""
Meet Me at Christmas,"""When Joan's (Bell) son's wedding planner unexpectedly quits, she must coordinate his Christmas eve wedding with the help of Beau (Deklin), the bride's uncle. As they work alongside eac""","""Catherine Bell, Mark Bellamy, Luke Bilyk, Owen Bishop""",Annie Bradley,"""Drama, Romance"""
A Christmas Duet ,"""During the chaos of planning a Christmas festival and vying for the Top Winter Lodge Award, an innkeeper rekindles her love of music as well as her love for her former music partner.""","""Chaley Rose, Rome Flynn, Chiara Zanni, Lane Edwards""",Catherine Cyran,"""Drama, Music, Romance"""
Pete's Christmas,"""A put-upon teen finds himself reliving the same miserable Christmas day over and over again.""","""Zachary Gordon, Molly Parker, Rick Roberts, Wesley Morgan""",Nisha Ganatra,"""Comedy, Drama, Family"""
Oh Christmas Tree!,"""After a woman unexpectedly loses her job, she must work at her family's Christmas-tree lot to make ends meet during the holiday season.""","""Sarah Lancaster, Eric Johnson, Colin Mochrie, Gregory Ambrose Calderone""",Craig Pryce,"""Comedy, Family, Romance"""
Trading Christmas,"""A Teacher from Washington state decides to do a house swap with a Boston Professor to be able to surprise and spend Christmas with her daughter.""","""Tom Cavanagh, Faith Ford, Gil Bellows, Gabrielle Miller""",Michael M. Scott,"""Comedy, Romance"""
Help for the Holidays,"""Santa's elf (Summer Glau) helps a family (Eva La Rue, Dan Gauthier) during Christmastime.""","""Summer Glau, Eva LaRue, John Brotherton, Dan Gauthier""",Bradford May,"""Drama, Family, Fantasy"""
It's Beginning to Look a Lot Like Christmas ,"""When a New England Christmas decorating competition searches for the town with the most Christmas spirit, the mayors of East and West Riverton go all out to get their towns to the top of the holiday heap.""","""Eric Mabius, Tricia Helfer, Aliza Vellani, Raf Rogers""",David Weaver,"""Comedy, Romance"""
Window Wonderland,"""A department-store window decorator learns there is a vacancy for her dream job in the run-up to Christmas, only to find a professional rival has his eye on it too.""","""Chyler Leigh, Paul Campbell, Naomi Judd, Terence Kelly""",Michael M. Scott,"""Comedy, Family, Romance"""
Finding Christmas,"""Sean, who runs a New York City advertising agency, and Owen, a small-town handyman and musician, swap residences for the holidays. Mia, who works for Sean, helps Owen get settled into his new apartment while Ryan, sent by Owen to fix a broken heater, helps Sean find the charm of living in a small town. Owen, a fish-out-of-water in the big city, tries to flirt with Halo, an aspiring model/actress/singer who lives in the apartment building. One night after Mia has shown Owen around town, Halo sees him entering the elevator wearing clothes borrowed from Sean's closet. Thinking he's rich, Halo flirts back and sets up a date. Mia, however, warns him that she just thinks he has money because he's living in Sean's apartment and wearing Sean's clothes. On the day of the big date, Owen realizes who he really is and what he really wants in life. Meanwhile, Sean is falling in love with the local veterinarian, who happens to be harboring a big secret--or two. He's surprised when his ex-fiancee' appears on his doorstep, ready to accept his marriage proposal and move back to New York with him. This complicates Sean's blossoming relationship with the small-town girl who has told him that her career as a veterinarian relies on her staying where she is, and to simply enjoy their love while it lasts. On Christmas Eve, Sean invites Owen to come back for a special dinner, where a surprise awaits all of them.""","""Tricia Helfer, J.T. Hodges, Mark Lutz, Cristina Rosato""",Harvey Crossland,"""Drama, Romance"""
Charming Christmas ,"""When a young businesswoman plays Mrs Claus at her family's department store over Christmas, her life begins to take some unexpected turns.""","""Julie Benz, David Sutcliffe, Bruce Gray, Catherine McNally""",Craig Pryce,"""Drama, Romance"""
"""With Love, Christmas""","""At an ad agency, Melanie who loves Christmas, and Donovan who doesn't, are paired to make a Christmas ad for a cell phone. They also get to be each others secret Santa at the office and learn more about each other. Will it go beyond that?""","""Emilie Ullerup, Aaron O'Connell, Rebecca Davis, Lindsay Winch""",Marita Grabiak,"""Comedy, Drama, Romance"""
Enchanted Christmas ,"""Young widow Laura Trudeau was a remarkable dancer. As a project manager she is tasked with renovating a lodge in her hometown and have it ready by Christmas Eve. She is stunned it's the lodge where she and her former love performed.""","""Alexa PenaVega, Carlos PenaVega, Rene Rivera, Jaynee-Lynne Kinchen""",Terry Cunningham,Romance
The Angel Tree ,"""A writer seeks the identity of the person who helps grant wishes that are placed upon an angel tree, and in the process, reconnects with her childhood friend.""",""" Jill Wagner, Lucas Bryant, Cassidy Nugent, Oscar Farrell""",Jessica Harmon,"""Drama, Mystery, Romance"""
A Perfect Christmas,"""A newlywed couple prepare to host their first family Christmas together, but things don't go according to plan.""","""Susie Abromeit, Dillon Casey, Erin Gray, Neil Crone""",Brian K. Roberts,"""Comedy, Family, Romance"""
Christmas Magic,"""After a fatal car accident, Carrie must earn her way into heaven when she's assigned as a guardian angel to struggling restaurant owner, Scott, and his daughter, Abby.""",""" Lindy Booth, Paul McGillion, Derek McGrath, Kiara Glasco""",John Bradshaw,"""Drama, Family, Fantasy"""
A Royal Winter,"""While on a last-minute European holiday, a young woman finds herself in the middle of a real-life fairy tale when a chance meeting with a handsome local leads to something more.""","""Merritt Patterson, Jack Donnelly, Samantha Bond, Rhea Bailey""",Ernie Barbarash,"""Drama, Family, Fantasy"""
Christmas at Grand Valley ,"""Burned out from the hubbub of the Chicago gallery world, artist Kelly (Danica McKellar) returns home to the picturesque Grand Valley just in time for Christmas. Maybe her favorite town's shining season will reinvigorate her love of art and guide her down her next path. Leo (Brennan Elliott), businessman and all-star dad to his children, struggles to balance his time this holiday season. When he is assigned to review a hotel in Grand Valley for its value, he sees this as the perfect opportunity for a Christmas family vacation. It isn't long until Kelly and Leo's worlds collide. As Kelly re-experiences her favorite Grand Valley traditions with Leo and his children, she begins to find her way back to her passion for art.""","""Danica McKellar, Brennan Elliott, Dan Lauria, Hattie Kragten""",Don McCutcheon,Romance
A Cookie Cutter Christmas,"""Two schoolteachers take their rivalry to a new level, while they scramble to win a holiday baking contest and the affections of a handsome single father.""","""Erin Krakow, David Haydn-Jones, Miranda Frigon, Laura Soltis""",Christie Will Wolf,"""Comedy, Romance"""
Angel of Christmas ,"""After she finally gets the chance to pen her very first article, an aspiring newspaper writer digs into her family history to find the perfect Christmas story.""","""Jennifer Finnigan, Jonathan Scarfe, Holly Robinson Peete, Christie Laing""",Ron Oliver,"""Comedy, Romance"""
"""Baby, It's Cold Inside""","""When a travel agent up for a promotion is directed to forget her tropical vacation and instead visit the world-famous Ice Hotel, she discovers that her sacrifices are more than compensated.""","""Jocelyn Hudon, Steve Lund, Kathryn Kohut, Randy Thomas""",Marita Grabiak,"""Drama, Romance"""
Winter Castle ,"""When Jenny attends her sister's winter wedding at an ice hotel, her heart melts over the best man, the problem is he unexpectedly brings a ""plus one,"" seemingly dashing her hopes for a wintery romance.""","""Emilie Ullerup, Kevin McGarry, Meghan Heffern, Habree Larratt""",Marita Grabiak,"""Drama, Family, Romance"""
The Town Christmas Forgot,"""When an urban family gets stranded in an impoverished lumber town two days before Christmas, they become involved in the town's home-grown Christmas pageant just in time for the holidays.""","""Lauren Holly, Rick Roberts, Azer Greco, Torri Webster""",John Bradshaw,"""Comedy, Family"""
Sound of Christmas ,"""Lizzie, a young piano teacher, helps Brad's teenage daughter learn music. As she begins to break through to the girl, sparks begin to fly with Brad, but she is shocked to find out that he may want to buy the school's property.""","""Lindy Booth, Robin Dunne, Micah Kalisch, Kim Roberts""",Harvey Crossland,"""Family, Romance"""
Christmas Comes Twice ,"""Cheryl's been stuck as administrator the last five years. Visiting her family for Christmas, she magically travels five years back for a week, as she had wished, and gets a fresh start on her career and love life.""","""Lili Taylor, Christopher Walken, Annabella Sciorra, Edie Falco""",Abel Ferrera,"""Drama, Fantasy, Romance"""
Snow Queen ,"""A young woman must journey through the seasons to rescue her boyfriend who has been kidnapped by the evil Snow Queen.""","""Chelsea Hobbs, Jeremy Guilbaut, Robert Wisden, Wanda Cannon""",,"""Adventure, Family, Fantasy"""
Reunited at Christmas ,"""Tasked with penning a Christmas novel, a successful writer returns to her late-grandmother's home for a family reunion during the holiday season.""","""Nikki Deloach, Mike Faiola, Eileen Pedde, Andrew Airlie""",Steven R. Monroe,"""Drama, Romance"""
Entertaining Christmas ,"""A Hallmark Channel original movie. Candace has never lived up to her mom's standards. She's sent in her place to plan a Christmas party.""","""Jodie Sweetin, Brendan Fehr, Jane Moffat, Ana Araujo""",Robin Dunne,Romance
Looks Like Christmas,"""Two single parents battle for control of the Christmas holiday at the middle school their children attend and learn a lesson about the meaning of Christmas.""","""Anne Heche, Dylan Neal, Sean Michael Kyer, Farryn VanHumbeck""",Terry Ingram,"""Comedy, Drama, Romance"""
Christmas Camp,"""To get a big promotion, Hayley, an advertising executive who specializes in social media and all things hip, must land a toy company that is all about traditional Christmas as an account.""","""Lily Anne Harrison, Bobby Campo, John James, Geraldine Leer""",Jeff Fisher,"""Drama, Family, Romance"""
"""It's Christmas, Eve ""","""An interim school superintendent finds herself in a tough spot when she is assigned to shut down a school's failing music program, and must come to terms with her musical past.""","""LeAnn Rimes, Tyler Hynes, Gwynyth Walsh, Laurie Murdoch""",Tibor Takács,"""Drama, Music, Romance"""
 One Christmas Eve,"""A series of mishaps threaten a recently divorced mom's attempts to make her two kids' first Christmas without dad perfect.""","""Anne Heche, Kevin Daniels, Carlos Gómez, Griffin Kane""",Jay Russell,"""Comedy, Drama, Family"""
Battle of the Bulbs,"""Bob Wallace makes sure to go all out every year on Christmas decorations so that he can have the brightest and most festive house in his neighborhood. This year, he notices that his new neighbor has put up an even brighter and more lavish display. The fight is on when they declare war for the best Christmas decoration display in the neighborhood. Stars Daniel Stern and Matt Frewer.""","""Daniel Stern, Matt Frewer, Allison Hossack, Teryl Rothery""",Jeff Beesley,"""Mystery, Romance"""
The Christmas Heart ,"""When a teenage boy desperately needs a heart transplant on Christmas Eve, his family and neighbors' forty-year tradition of lining their quaint street with Christmas luminaries is put on hold. When his parents, Ann and Mike, pray for a donor on a stormy night, the neighbors suddenly realize their luminaries could have a deeper purpose.""","""Teri Polo, Paul Essiembre, Ty Wood, Cruise Brown""",Gary Yates,Drama
The Mistletoe Inn ,"""An aspiring novelist signs up for a week-long writing workshop at the Mistletoe Inn.""",""" Alicia Witt, David Alpay, Lucie Guest, Casey Manderson""",Alex Wright,"""Comedy, Drama, Romance"""
Broadcasting Christmas ,"""Two news broadcasters who previously were in love fight for a position as a morning talk show host that they both want, ultimately finding what made them like each other so much in the first place.""","""Melissa Joan Hart, Dean Cain, Cynthia Gibb, Jackée Harry""",Peter Sullivan,"""Comedy, Drama, Family"""
Every Christmas Has a Story,"""While on air, a TV personality accidentally admits she hates Christmas. When she goes to a small town to film a special to repair her image, the Christmas spirit begins to change her life.""","""Lori Loughlin, Colin Ferguson, Willie Aames, Catherine Lough Haggquist""",Ron Oliver,"""Comedy, Romance"""
Eve's Christmas ,"""A wealthy and successful career woman gets a second chance in life when a magical wish transports her back in time eight years to when she walked away from her fiance to lead a business life in New York.""","""Elisa Donovan, Sebastian Spence, Cheryl Ladd, Winston Rekert""",Timothy Bond,"""Comedy, Family"""
A Gingerbread Romance ,"""With Christmas just weeks away, the architecture firm Taylor works for enters her in a contest in which the teams will design and build life-sized gingerbread houses. After the contest, Taylor will likely be getting a promotion to a position in another city. The firm teams her up with Annabelle, a renowned French pastry chef with whom Taylor instantly locks horns. When Annabelle backs out, Taylor stumbles into a local bakery and meets Adam, a baker and single dad. In an act of desperation, Taylor convinces Adam to partner with her for the contest, arguing that winning would give the bakery and his designs much-needed exposure. For years Taylor has been resistant to call anywhere 'home' for fear it will only be temporary. But the time she spends with Adam and his daughter in their cozy home, decorating for the holidays and exploring the town at Christmas, fills her with a longing for a place to call home.""","""Tia Mowry-Hardrict, Duane Henry, Jordana Lajoie, Giles Panton""",Richard Gabai,"""Drama, Family, Romance"""
Best Christmas Party Ever ,"""A party planner is tasked with mentoring her boss's nephew who is set to take over the business.""","""Torrey DeVitto, Steve Lund, Linda Thorson, Kalinka Petrie""",John Bradshaw,"""Comedy, Drama, Romance"""
Christmas in the Air ,"""Struggling with his work-life balance, a widowed father-of-two enlists the help of a professional organizer for the holiday seaso""","""Catherine Bell, Eric Close, Ken Tremblett, Malcolm Stewart""",Martin Wood,Romance
Tis the Season to be Merry,"""Looking for a fresh angle on her new book on relationships, Merry heads to snow covered Vermont. She finds a new perspective and Christmas cheer with charismatic aid worker Chris""","""Rachael Leigh Cook, Travis Van Winkle, Adam Hurtig, Amy Groening""",Gary Yates,"""Comedy, Romance"""
Northpole: Open for Christmas,"""When Mackenzie inherits her aunt's once-majestic inn, she decides to sell it. But fixing up the rundown place is more challenging than she had anticipated. Then the magic of Christmas intervenes, with unexpected help from Santa's elves.""","""Lori Loughlin, Bailee Madison, Dermot Mulroney, Paul Stewart""",Douglas Barr,"""Drama, Family, Romance"""
Christmas Comes Home to Canaan,"""In the story, Daniel's son Bobber needs extensive orthopedic surgery and months of intensive physical therapy to recover from being struck down by an automobile. Rodney Freeman, the young black man who Daniel took into his home and raised as another son, has become a famous writer and offers to fly Daniel and Bobber to San Francisco and to pay for the surgery. Once in San Francisco, Daniel meets and falls for Briony Adair, a physical rehabilitation specialist who will be working toward Bobber's recovery. When therapy progresses slowly, Bobber invites Briony to come home to Canaan to spend Christmas with the Burtons and continue his treatment. Briony is a natural at caring for a thriving family, but Sarah, Daniel's daughter distances herself not wanting to dishonor her late mother's memory, and a disastrous Christmas visit drives Daniel and Briony apart. In the soul searching that follows, Daniel finds the strength to open his heart again and invite love back into his life.""",""" Billy Ray Cyrus, Gina Holden, Emily Tennant, Matt Ward""",Neill Fearnley,"""Drama, Family"""
Christmas Scavenger Hunt ,"""When Belinda (Kim Shaw) heads back to her hometown for the holidays, things get complicated when she is forced to team up with her ex, Dustin (Kevin McGarry), at the town's annual Christmas scavenger hunt.""",""" Kim Shaw, Kevin McGarry, Tom Arnold, Kathryn Kohut""",Marita Grabiak,Comedy
A Rose for Christmas ,"""Andy's family has built Rose Parade floats for generations. When her Dad gets sick, Andy's forced to supervise the construction and decoration of their client's float and deal with a demanding businessman whose company commissioned it.""","""Marc Bendavid, Rachel Boston, Venus Terzo, Willa Milner""",Kevin Fair ,"""Drama, Romance"""
The Christmas Parade,"""Hailee Anderson (AnnaLynne McCord), the famous talk show host, is preparing for the holiday season by working; she's planning her very important TV show, her Christmas special. Already a scrooge, Hailee is even more miserable when she finds out her real-estate fiancée Jason (Drew Scott) is cheating on her - on air. To clear her head, she goes on a drive and ends up in Carver Bend, Connecticut, unfortunately crashing through a local judge's fence. Forced to do community service, she helps out her rescuer Logan (Jefferson Brown), by building a float for the town's annual Christmas parade to help save the town's art center. While Hailee bonds with the locals, the art center kids, and grows closer to Logan, she re-learns why the holidays are important to spend with l""","""Natalie Hall, JoBeth Williams, Greg Vaughan, Dylan Bruce""",David S. Cass Sr.,"""Drama, Family, Romance"""
Annie Claus Is Coming to Town ,"""This year, Santa's daughter (Maria Thayer) takes her first trip away from the North Pole during the Christmas season hoping to find adventure and love in sunny California. While Santa watches his daughter through a magic snow globe, Annie arrives in L.A. and becomes friends with the owner of Candy Cane Inn, Lucy (Vivica A. Fox), and her daughter, Mia (Nay Nay Kirby). She also quickly lands a job at Wonderland Toys. Wonderland Toys' owner, Ted (Sam Page) is struggling to stay in business selling old-fashioned toys in a digital world. Annie soon realizes that she wants Ted's business to thrive because she has feelings for this Christmas traditionalist.""","""Maria Thayer, Sam Page, Randy J. Goodwin, Vivica A. Fox""",Kevin Connor,"""Comedy, Family, Romance"""
The Santa Suit ,"""Hunter Toys CEO Drake Hunter turned his father's company from a cozy quality manufacturer into a ruthless, profitable business. After denying his staff any festive generosity again, the scrooge is suddenly and magically transformed into Kris Krandall. That forces him to work as a Santa in Norm Dobson's toy store, with weird would be-actor Sebastian. Drake reassesses his values and priorities in life.""","""Kevin Sorbo, Jodie Dowdall, Derry Robinson, Rosemary Dunsmore""",Robert Vaughan,"""Comedy, Fantasy"""
Mr. Miracle,"""A Guardian Angel, posing as an English teacher, helps a young woman find her way before Christmas.""","""Kendra Anderson, Candus Churchill, Andrew Francis, Michelle Harrison""",Carl Bessair,"""Comedy, Drama, Family"""
