title,summary,starring,director,genre
Christmas Joy ,"""Joy Holbrook is a market researcher about to get a sweet promotion just in time for the holidays. But she receives an urgent phone call from home and rushes back to help her Aunt recover from surgery, reuniting with her former crush, Ben.","""Danielle Panabaker, Matt Long, Lucia Walters, Beverley Elliott""",Monika Mitchell,"""Drama, Romance"""
The Mistletoe Secret,"""A ghost writer/partner of a travel web site and TV feature arrives in Midway before Christmas to write about it. He falls for The Mistletoe Diner's Aria, as does his tall, handsome partner.""","""Kellie Pickler, Tyler Hynes, Christopher Russell, Adrian Neblett""",Terry Ingram,"""Drama, Romance"""
The Christmas Card,"""US soldier visits the town from where an inspirational Christmas card was sent to him by a church group that mails cards out to servicemen as a goodwill effort.""",""" Ed Asner, John Newton, Alice Evans, Lois Nettleton""",Stephen Bridgewater,"""Drama, Romance"""
Family for Christmas,"""After a conversation with a man playing Santa Claus during her office Christmas party, a woman wakes up to find herself married to her college sweetheart and two kids and questions her life choices.""",""" Lacey Chabert, Tyron Leitso, Milli Wilkinson, Audrey Smallman""",Amanda Tapping,"""Drama, Family, Fantasy"""
Christmas on My Mind,"""When Lucy wakes up with a wedding dress in hand, she believes that she is late to her wedding with her ex-boyfriend Zach. However, she has no recollection of the past 2 years, including the fact that she is engaged to another man.""","""Ashley Greene, Andrew W. Walker, Jackée Harry, Donna Benedicto""",Maclain Nelson,"""Comedy, Drama, Romance"""
Amazing Winter Romance ,"""When journalist Julia goes back home to find inspiration, she discovers her childhood friend has built a giant snow maze which prompts her to find her way to true love.""","""Jessy Schram, Marshall Williams, Zoe Fish, Melissa Marie Elias""",Jason Bourque,"""Comedy, Drama, Romance"""
Nostalgic Christmas,"""Anne seems to have it all as a driven toy buyer in New York City, but her father's retirement signaling the closing of the town's beloved toy store brings the city girl back to her small-town roots.""","""Brooke D'Orsay, Trevor Donovan, Jenna Weir, Ron Lea""",J.B. Sugar,"""Drama, Romance"""
Check Inn to Christmas,"""Julia comes home to spend the holidays with her family running their inn only to get caught up in a longstanding feud with a rival business. To complicate matters, the competition is an irresistible guy called Ryan.""","""Rachel Boston, Wes Brown, Richard Karn, Christopher Cousins""",Sam Irvin,"""Drama, Romance"""
Christmas Cookies ,"""A corporate agent is sent to a small town to buy a cookie company and shut down its factory. When she starts falling in love with the factory's owner, the town's Christmas spirit over takes her.""","""Jill Wagner, Wes Brown, P. Lynn Johnson, Chris Gauthier""",James Head,"""Drama, Romance"""
The Sweetest Christmas ,"""Kylie is expecting a proposal from her boyfriend/boss at a restaurant and gets a promotion instead. The restaurant owner is her old high school boyfriend, she hasn't seen in years. They help each other out. Love in the air?""","""Lacey Chabert, Lea Coco, Jonathan Adams, Brenden""",Terry Ingram,"""Comedy, Drama, Romance"""
Christmas in Rome ,"""Angela, an American tour guide in Rome, agrees to teach a culture-shocked businessman named Oliver about the heart of Rome at Christmas.""","""Lacey Chabert, Sam Page, Franco Nero, Holly Hayes""",Ernie Barbarash,"""Drama, Romance"""
A Christmas Treasure,"""Lou and Kyle met in the Pine Grove, they both have doubts about their future, but the magic of the holiday season and the connection they have, helps each of their journeys.""","""Jordin Sparks Thomas, Michael Xavier, Lossen Chambers, Nathan Witte""",Michael Robison  ,"""Drama, Romance"""
On the Twelfth Day of Christmas ,"""Maggie is thrilled when her long-time crush Mitch moves back to town. When she learns that Mitch's love for Christmas has drastically changed, she tries to bring back his holiday spirit by showing him the magic of Christmas.""","""Brooke Nevin, Robin Dunne, Dani Kind, Geri Hall""",Harvey Crossland,"""Comedy, Romance"""
Christmas in Harmony,"""Harmony is tricked into auditioning for the Holiday Chorus- directed by an ex-boyfriend. By Christmas Eve, they could be harmonizing in the key of love.""","""Ashleigh Murray, Luke James, Loretta Devine, Michelle Williams""",Rusty Cundieff`,"""Drama, Romance"""
Coming Home for Christmas,"""Lizzie Richfield lands a job as house manager for the exquisite Ashford Estate in Virginia. While preparing the place for sale, Lizzie plans one final Christmas Eve gala for the Marley family, though they seem to be a family in name only.""","""Danica McKellar, Neal Bledsoe, Andrew Francis, Lindsay Maxwell""",Mel Damski ,"""Drama, Romance"""
Love You Like Christmas,"""A high-powered marketing executive reconsiders her priorities when car trouble strands her in a small Ohioan town for the Christmas season.""","""Bonnie Somerville, Brennan Elliott, Madison Brydges, Precious Chong""",Graeme Campbell,"""Comedy, Drama, Family"""
Cherished Memories: A Gift to Remember 2 ,"""As Darcy and Aiden prepare to celebrate their second Christmas together, an unexpected guest and a fight to save the beloved community center unites everyone for an unforgettable holiday.""",""" Peter Porte, Ali Liebert, Tina Lifford, Dominic Mariche""",Kevin Fair ,"""Comedy, Drama, Family"""
Picture a Perfect Christmas,"""A photographer returns home to take care of her grandmother and gets involved with helping a neighbor look after his young nephew.""","""Merritt Patterson, Jon Cor, Luke Roessler, Paula Shaw""",Paul Ziller,"""Drama, Romance"""
Double Holiday ,"""Rebecca endures working with her colleague and rival Chris to plan the office Christmas party in hopes of getting a promotion. While spending so much time together, will they take their eyes off the prize and see each other anew?""","""Carly Pope, Kristoffer Polaha, Laura Cilevitz, Barbara Eve Harris""",Don McBrearty ,"""Drama, Romance"""
Christmas List,"""Isobel plans a storybook Christmas with her boyfriend, including a cottage in the Northwest and a bucket list of holiday traditions. But when he goes AWOL, the list proves challenging and a tempting new romance turns her life upside down.""","""Alicia Witt, Gabriel Hogan, Peter Benson, Wanda Cannon""",Paul A. Kaufman,"""Comedy, Drama, Romance"""
